name,price,num_reviews,per_cnt_price,url
"Disposable Face Mask, ESOLOM 3-Ply Facial Cover Masks with Ear Loop, Breathable Non-Woven Mouth Cover for Personal, Suitable for Home, Office, Outdoor- 50 PCS",24.99,386,($0.50/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0904854ULFH0MJ7TEH7&url=%2FDisposable-ESOLOM-Breathable-Non-Woven-Personal%2Fdp%2FB086QLH269%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-51-spons%26psc%3D1&qualifier=1594605015&id=8452762377862746&widgetName=sp_atf_next
"MAGID Disposable Face Masks with Soft Elastic Earloops & an Adjustable Nose Clip, Triple-Layer (3-Ply) Construction, Non-Woven Material, Blue (50 Masks)",23.00,56,($0.46/Piece),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03098012AHOIJNJYD9ZZ&url=%2FDisposable-Adjustable-Triple-Layer-Construction-Non-Woven%2Fdp%2FB0891JHCTB%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-52-spons%26psc%3D1&qualifier=1594605015&id=8452762377862746&widgetName=sp_atf_next
Wecolor 100 Pack 3 Ply Disposable Face Masks (Blue),42.99,"1,963",($42.99/Count),https://amazon.com//Disposable-Hypoallergenic-Breathability-Comfort-Great-Allergies/dp/B078718WVB/ref=sr_1_53?dchild=1&keywords=Masks&qid=1594605010&sr=8-53
"TOOCA Disposable Earloop Face Mask, Pack of 50,3-ply Mouth Mask",24.99,7,-,https://amazon.com//TOOCA-Disposable-Earloop-3-ply-Mouth/dp/B089LZRGJ4/ref=sr_1_54?dchild=1&keywords=Masks&qid=1594605010&sr=8-54
"5 Pack Fashion Protective, Unisex Black Dust Cotton, Washable, Reusable Cotton Fabric",18.99,858,($3.80/Count),https://amazon.com//Fashion-Protective-Unisex-Washable-Reusable/dp/B087NMTT81/ref=sr_1_55?dchild=1&keywords=Masks&qid=1594605010&sr=8-55
"3 Pack Face Covering, Mouth Covering Unisex Black Dust Cotton, Washable, Reusable Cotton Fabric Dust Covering",14.99,250,-,https://amazon.com//Covering-Unisex-Cotton-Washable-Reusable/dp/B089148BWQ/ref=sr_1_56?dchild=1&keywords=Masks&qid=1594605010&sr=8-56
INTO THE AM Seamless Face Cover Bandanas Neck Gaiter Mouth Mask Scarf - Dust & UV Sun-Protection for Festivals and Outdoors,12.95,194,-,https://amazon.com//INTO-AM-Black-Seamless-Bandana/dp/B0754T83QC/ref=sr_1_57?dchild=1&keywords=Masks&qid=1594605010&sr=8-57
"WQFXYZ 6 Packs of 3 Colors for Outdoor Protection, Filtering Measures, dust and Deodorization, Cycling Protection, Fashion Unisex",25.99,1,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A09087883R526BS06NP7F&url=%2FWQFXYZ-Protection-Filtering-Measures-Deodorization%2Fdp%2FB08BXGBC6D%2Fref%3Dsr_1_145_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605017%26sr%3D8-145-spons%26psc%3D1&qualifier=1594605018&id=1319490864530914&widgetName=sp_atf_next
"Unisex Black Cloth Face Madks Packs Reusable Washable, Breathable Dust Fashion Protective Fabric for Men Women, 2 Pcs Black",14.99,1,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A06266301NH39MHSHE51C&url=%2FReusable-Washable-Breathable-Fashion-Protective%2Fdp%2FB08BC7KM5M%2Fref%3Dsr_1_146_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605017%26sr%3D8-146-spons%26psc%3D1&qualifier=1594605018&id=1319490864530914&widgetName=sp_atf_next
"Disposable Face Masks, Daily Protective Mask for Face with Knitted Ear-Loops 50 Pcs (White)",28.99,3,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A02688782C2TBS63KTZE1&url=%2FDisposable-Masks-Protective-Knitted-Ear-Loops%2Fdp%2FB089VZLMSY%2Fref%3Dsr_1_147_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605017%26sr%3D8-147-spons%26psc%3D1&qualifier=1594605018&id=1319490864530914&widgetName=sp_atf_next
