name,price,num_reviews,per_cnt_price,url,timestamp
"Facial Protection Filtration 95%, Anti-Fog, Dust-Proof washable Headgear Full Face Protection Masks",16.99,55,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0380743B4WD7QS9MITI&url=%2FProtection-Filtration-Anti-Fog-Dust-Proof-washable%2Fdp%2FB089SZKVZ3%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-51-spons%26psc%3D1&qualifier=1594841009&id=369805706040215&widgetName=sp_atf_next,2020-07-15 15:23:30
"Facial Protection Filtration 95%, Anti-Fog, Dust-Proof Adjustable Headgear Full Face Protection Masks",17.99,221,($17.99/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0210431396NKB1XYOO91&url=%2FProtection-Filtration-Anti-Fog-Dust-Proof-Adjustable%2Fdp%2FB088CQGVMJ%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-52-spons%26psc%3D1&qualifier=1594841009&id=369805706040215&widgetName=sp_atf_next,2020-07-15 15:23:30
"5 Pack Fashion Protective, Unisex Black Dust Cotton, Washable, Reusable Cotton Fabric",18.99,925,($3.80/Count),https://amazon.com//Fashion-Protective-Unisex-Washable-Reusable/dp/B087NMTT81/ref=sr_1_53?dchild=1&keywords=Masks&qid=1594841003&sr=8-53,2020-07-15 15:23:30
"Bloch Soft Stretch Reusable Face Mask (Pack of 3), Black, Adult",22.79,15,-,https://amazon.com//Bloch-Stretch-Reusable-Black-Adult/dp/B087M41L9Q/ref=sr_1_54?dchild=1&keywords=Masks&qid=1594841003&sr=8-54,2020-07-15 15:23:30
BASE CAMP M Plus Face Cover with Active Carbon Filter Combo Kit,39.99,85,-,https://amazon.com//BASE-CAMP-Active-Carbon-Filter/dp/B085B8Y9XH/ref=sr_1_55?dchild=1&keywords=Masks&qid=1594841003&sr=8-55,2020-07-15 15:23:30
Colbiz Dust Mask with Activated Carbon Filters Reusable Sports Face Mask,29.99,152,More Buying Choices,https://amazon.com//Colbiz-Adjustable-Breathable-Motorcycle-Woodworking/dp/B089LKF6JK/ref=sr_1_56?dchild=1&keywords=Masks&qid=1594841003&sr=8-56,2020-07-15 15:23:30
"Cover for Outdoor, Sports Fashion Protection, Neutral Black dustproof Cotton, Washable, Reusable Cotton Fabric",34.95,105,($34.95/Count),https://amazon.com//Outdoor-Protection-dustproof-Washable-Reusable/dp/B088LDVPHX/ref=sr_1_57?dchild=1&keywords=Masks&qid=1594841003&sr=8-57,2020-07-15 15:23:30
"Tart Collections Face Mask, Comfortable Non-Elastic Ear Loops, Washable and Reusable, Unisex, Made in USA",9.99,54,-,https://amazon.com//Tart-Collections-Comfortable-Non-Elastic-Washable/dp/B088JWKYFW/ref=sr_1_58?dchild=1&keywords=Masks&qid=1594841003&sr=8-58,2020-07-15 15:23:30
Hurley Lightweight Multipurpose Neck Gaiter with Moisture Wicking Technology,18.00,23,-,https://amazon.com//Hurley-Multipurpose-Moisture-Wicking-Technology/dp/B089GZMFYX/ref=sr_1_59?dchild=1&keywords=Masks&qid=1594841003&sr=8-59,2020-07-15 15:23:30
New Republic Made in USA 3 Pack Face Masks | Washable and Reusable | 2 Ply 100% Cotton | Regular Size,12.00,"2,721",($4.00/Count),https://amazon.com//New-Republic-Washable-Reusable-Regular/dp/B0876HQ55Q/ref=sr_1_60?dchild=1&keywords=Masks&qid=1594841003&sr=8-60,2020-07-15 15:23:30
"Ecnobia 3 Ply Non-Woven, 100Pcs Disposable Face Bandanas, Cloth Covering, No Washable, Breathable and Anti-Haze Dust, for Adults (100 Pcs, Gray)",16.08,51,More Buying Choices,https://amazon.com//Non-Woven-Disposable-Bandanas-Breathable-Anti-Haze/dp/B08B64DS1S/ref=sr_1_61?dchild=1&keywords=Masks&qid=1594841003&sr=8-61,2020-07-15 15:23:30
"8pack Reusable Cotton Fabric-Washable,Fashion Protective, Unisex Black Cotton",21.99,0,-,https://amazon.com//Reusable-Cotton-Fabric-Washable-Fashion-Protective/dp/B08BY8XF7Q/ref=sr_1_62?dchild=1&keywords=Masks&qid=1594841003&sr=8-62,2020-07-15 15:23:30
"Aliceva One Step Foot Peel Mask, Simple Foot Peeling Mask, Exfoliating Calluses and Dead Skin Remover - 2 Pairs",17.95,"3,386",($8.98/Count),https://amazon.com//Aliceva-Peeling-Exfoliating-Calluses-Remover/dp/B00JKOJHQ0/ref=sr_1_63?dchild=1&keywords=Masks&qid=1594841003&sr=8-63,2020-07-15 15:23:30
